Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
GCpdTw,3,4,3.0,"['aAB', 'abBC', 'AAbbB', 'bc']","{'aAB': [2, 5, 6], 'abBC': [0, 4], 'AAbbB': [7], 'bc': [1, 3]}","[[[0, 0, 0, -0.0, -0.0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0, 0, 0], [0, 0, 0, 0, 0, 1.0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 0, 1.0, -0.0], [0, -0.0, -0.0, 0, 0, 0, 0, 1.0], [-0.0, 0, 1.0, 0, -0.0, 0, 0, 0], [-0.0, 0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, 0, 1.0, -0.0], [0, 0, 0, 0, -0.0, 1.0, 0, 0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, 0, 1.0], [1.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, -0.0, 0, 0, 0], [-0.0, 0, 1.0, -0.0, 1.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, 0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, 0, 0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [1.0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, -0.0, 0, 0, 0], [-0.0, 0, -0.0, -0.0, -0.0, -0.0, 0, 0]]]",2.0,6,"['aaABB', 'aAAb', 'abb', 'aBB', 'Ab', 'ABBB']","{'aaABB': [7], 'aAAb': [0], 'abb': [5, 6], 'aBB': [2], 'Ab': [1, 3], 'ABBB': [4]}","[[[0, 0, 0, 1.0, 0.0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0.0, 0, 0], [0, 0, 0, 0, 0, -0.0, -0.0, 1.0], [-0.0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [0, 1.0, -0.0, 0, 0, 0, 0, 0.0], [1.0, 0, -0.0, 0, -0.0, 0, 0, 0], [1.0, 0, 0.0, -0.0, 1.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, 1.0, 0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, 0, 0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [0.0, 0, 0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0, 0, -0.0, -0.0], [0, 0.0, 1.0, 0, 0, 0, 0, 1.0], [0.0, 0, 1.0, 0, 1.0, 0, 0, 0], [0.0, 0, 0.0, -0.0, 0.0, -0.0, 0, 0]]]",False,2.2315535582602024,810.9112516893074
GCpdU[,3,5,3.0,"['aa', 'aAAb', 'aAc', 'a', 'BBBCC']","{'aa': [2], 'aAAb': [0, 4, 6], 'aAc': [1, 5], 'a': [3], 'BBBCC': [7]}","[[[0, 0, 0, -0.0, -0.0, 0, 1.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, 1.0, 1.0, 0], [1.0, 0, 0, 0, 0, 0, 0, 0], [1.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [0, 1.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, 1.0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, -0.0, -0.0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, 0, 0, 0, 0, 0, 0, 0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, 1.0], [0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, -0.0, 0, 0, 1.0], [-0.0, -0.0, 0, 0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, -0.0, -0.0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, 0, 1.0], [0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, 0, 0, 0, 0, 0, 0, 0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, 0, 0, 1.0], [-0.0, 0, -0.0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, -0.0, -0.0, -0.0, 0]]]",2.0,6,"['aaAbB', 'aAAb', 'abB', 'a', 'Ab', 'ABBB']","{'aaAbB': [7], 'aAAb': [4, 6], 'abB': [1, 5], 'a': [3], 'Ab': [2], 'ABBB': [0]}","[[[0, 0, 0, 0.0, -0.0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0, 0], [1.0, 0, 0, 0, 0, 0, 0, 0], [-0.0, -0.0, 0, 0, 0, 0, 1.0, -0.0], [0, 0.0, 0.0, 0, 0, 0, 0, 1.0], [-0.0, 0, 1.0, 0, 0.0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 1.0, 0.0, 1.0, 0]], [[0, 0, 0, 0.0, -0.0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, 0, 1.0], [0, 0, 0, 0, 0, 1.0, 0.0, 0], [0.0, 0, 0, 0, 0, 0, 0, 0], [1.0, -0.0, 0, 0, 0, 0, -0.0, 0.0], [0, 1.0, 0.0, 0, 0, 0, 0, 0.0], [1.0, 0, -0.0, 0, -0.0, 0, 0, -0.0], [1.0, 0.0, 0, 0, -0.0, 0.0, -0.0, 0]]]",False,6.213170197792351,1952.3716641059143
GCpdVg,5,4,2.0,"['abBB', 'aB', 'AABBB', 'bbB']","{'abBB': [0], 'aB': [3], 'AABBB': [7], 'bbB': [1, 2, 4, 5, 6]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,12.960064840503035,47.10575338546187
GCpe]W,5,4,2.0,"['abBB', 'AAAB', 'Abbb', 'b']","{'abBB': [0, 1, 6, 7], 'AAAB': [5], 'Abbb': [4], 'b': [2, 3]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,10.926929643377662,1.6146335117518902
GCpe][,5,4,2.0,"['abBB', 'Abbbb', 'AbbBB', 'A']","{'abBB': [0, 1, 4, 5], 'Abbbb': [7], 'AbbBB': [6], 'A': [2, 3]}","[[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0]]]",2.0,4,,,,True,7.507073422893882,19.00693000108004
GCpe^W,5,5,2.0,"['aBBB', 'AABBB', 'bbbB', 'bb', 'b']","{'aBBB': [0, 5], 'AABBB': [7], 'bbbB': [1, 4, 6], 'bb': [2], 'b': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,13.89045105688274,9.468582751229404
GCpe^[,5,5,2.0,"['abBB', 'AAAAB', 'bbbbBB', 'bb', 'b']","{'abBB': [0, 1, 4, 5], 'AAAAB': [6], 'bbbbBB': [7], 'bb': [2], 'b': [3]}","[[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 1, 0]]]",2.0,5,,,,True,23.065286960452795,47.37729964219034
GCpe^g,5,4,2.0,"['abBB', 'AAb', 'AB', 'bbbbb']","{'abBB': [0, 1, 5, 6], 'AAb': [4], 'AB': [2, 3], 'bbbbb': [7]}","[[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0]]]",2.0,4,,,,True,3.2968212850391865,20.69434873573482
GCpe^k,5,5,2.0,"['aBBBBB', 'aBB', 'AABBB', 'bbbB', 'bb']","{'aBBBBB': [7], 'aBB': [4], 'AABBB': [6], 'bbbB': [0, 1, 5], 'bb': [2, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]], [[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,13.5502567011863,71.5136400423944
GCpe^o,5,5,2.0,"['aBBB', 'AABBB', 'bbbB', 'bbB', 'bb']","{'aBBB': [0, 1], 'AABBB': [7], 'bbbB': [4, 6], 'bbB': [5], 'bb': [2, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,19.03997320123017,16.59045154415071
GCpe^s,5,5,2.0,"['aBBBBB', 'aBB', 'AABBB', 'bbbB', 'bb']","{'aBBBBB': [7], 'aBB': [5], 'AABBB': [6], 'bbbB': [0, 1, 4], 'bb': [2, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]], [[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,13.122128950431945,59.89401145093143
GCpe^w,5,4,2.0,"['aBBB', 'AABBBB', 'bbbB', 'bb']","{'aBBB': [0, 5], 'AABBBB': [7], 'bbbB': [1, 4, 6], 'bb': [2, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,4.094625746831298,13.408555837348104
GCpe^{,5,4,2.0,"['aBBBB', 'aB', 'AAAbBBB', 'bbbB']","{'aBBBB': [6], 'aB': [2, 3], 'AAAbBBB': [7], 'bbbB': [0, 1, 4, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,1.8119380753487349,54.11977423727512
GCpdVo,5,4,2.0,"['abB', 'aBBBB', 'AbbB', 'Ab']","{'abB': [1, 2, 6], 'aBBBB': [7], 'AbbB': [0, 4], 'Ab': [3, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,6.171244400553405,95.24907041992992
GCpei{,5,5,2.0,"['aBBB', 'ABBB', 'bbbBB', 'bbB', 'b']","{'aBBB': [1], 'ABBB': [5], 'bbbBB': [6, 7], 'bbB': [0, 3, 4], 'b': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1, 0]]]",2.0,5,,,,True,202.79845362715423,59.33498649485409
GCpej[,5,5,2.0,"['abBB', 'aB', 'AbbbB', 'Abb', 'ABB']","{'abBB': [1, 5], 'aB': [2, 3], 'AbbbB': [6, 7], 'Abb': [4], 'ABB': [0]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 1, 0]]]",2.0,5,,,,True,985.289650304243,53.53890029899776
GCpejw,5,4,3.0,"['aC', 'ABBBc', 'bBC', 'bccC']","{'aC': [2], 'ABBBc': [7], 'bBC': [0, 3, 4], 'bccC': [1, 5, 6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]",2.0,5,"['abBB', 'aB', 'AABBB', 'Abbb', 'bbB']","{'abBB': [5, 6], 'aB': [2], 'AABBB': [7], 'Abbb': [1], 'bbB': [0, 3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",False,57.19131801091135,90.24711814150214
GCpej{,5,5,2.0,"['abBB', 'aB', 'AABBB', 'AbbbbB', 'bbB']","{'abBB': [1, 5], 'aB': [2], 'AABBB': [6], 'AbbbbB': [7], 'bbB': [0, 3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1, 0]]]",2.0,5,,,,True,29.015062311664224,95.63865061663093
GCpelW,5,4,3.0,"['aCC', 'ACC', 'bccC', 'BB']","{'aCC': [4], 'ACC': [1], 'bccC': [0, 5, 6, 7], 'BB': [2, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]]",2.0,5,"['abBB', 'aB', 'AAAB', 'Abbb', 'bbB']","{'abBB': [6, 7], 'aB': [2, 3], 'AAAB': [0], 'Abbb': [5], 'bbB': [1, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]]",False,89.69768101349473,73.02315953187644
GCpel[,5,5,2.0,"['ab', 'aBBB', 'AbbbB', 'Abb', 'ABB']","{'ab': [2, 3], 'aBBB': [0, 5], 'AbbbB': [6, 7], 'Abb': [1], 'ABB': [4]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1, 0, 0]]]",2.0,5,,,,True,1680.3555920645597,50.08401046693325
