Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
GCZNfw,3,4,3.0,"['aaBBBc', 'AcC', 'bccC', 'cCCC']","{'aaBBBc': [7], 'AcC': [2, 3], 'bccC': [0, 1, 4], 'cCCC': [5, 6]}","[[[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0, 0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 0.0], [0, -0.0, -0.0, 0, 0, -0.0, 0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [0.0, -0.0, -0.0, -0.0, 0, 0, 0, 0], [-0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0.0, 0, 0.0, -0.0, 1.0000000000000009], [0, 0, 0, 0, -0.0, 0.0, -0.0, 1.0000000000000004], [0, 0, 0, 0, -0.0, 0, -0.0, 0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 0.0, -0.0, 0, 0, -0.0, 0, 1.0000000000000004], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0, 0, 0, 0], [-4.440892098500626e-16, -4.440892098500626e-16, -0.0, -0.0, -4.996003610813204e-16, -0.0, 0, 0]], [[0, 0, 0, 1.0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 0.0, 0, 1.0, -0.0], [-0.0, 0, 0, 0, 0, 0, 1.0, -0.0], [0, -0.0, 1.0, 0, 0, 1.0, 0, -0.0], [-0.0, 1.0, 0, 0, 0.0, 0, 0, -0.0], [1.0, -0.0, -0.0, 0.0, 0, 0, 0, 0], [-0.0, 0.0, -0.0, -0.0, -0.0, 1.0, 0, 0]]]",2.0,5,"['aAAbbB', 'aAAb', 'abbB', 'AbbB', 'BBB']","{'aAAbbB': [7], 'aAAb': [0], 'abbB': [1, 4, 6], 'AbbB': [5], 'BBB': [2, 3]}","[[[0, 0, 0, -0.0, 0, 1.0, 0.0, 0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, 0.0, 0, 1.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [1.0, -0.0, -0.0, -0.0, 0, 0, 0, 0], [1.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0, 0]], [[0, 0, 0, 1.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 0.0, 0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 0.0], [0, 1.0, 1.0, 0, 0, 0.0, 0, -0.0], [0.0, 0.0, 0, 0, 1.0, 0, 0, 1.0], [-0.0, -0.0, 1.0, 1.0, 0, 0, 0, 0], [-0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 0, 0]]]",False,57.45811509061605,341.3024866916239
GCZNf{,3,4,2.0,"['aaAAAbB', 'aaAb', 'AbB', 'ABBBB']","{'aaAAAbB': [7], 'aaAb': [0, 1, 4, 5], 'AbB': [2, 3], 'ABBBB': [6]}","[[[0, 0, 0, -0.0, 0, -0.0, 1.0, 1.0], [0, 0, 0, 0, 1.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, 1.0, 0, 1.0], [1.0, 1.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 1.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, 1.0, -0.0], [0, 0, 0, 0, -0.0, 0, 1.0, -0.0], [-0.0, 0, 0, 0, 0, 0, 1.0, -0.0], [0, -0.0, 1.0, 0, 0, -0.0, 0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, 1.0], [-0.0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 0]]]",2.0,4,,,,True,2.659126185812056,209.9210667219013
GCZNvw,3,4,2.0,"['aaa', 'aACC', 'AAcccc', 'AAccC']","{'aaa': [2, 3], 'aACC': [0, 1, 5], 'AAcccc': [7], 'AAccC': [4, 6]}","[[[0, 0, 0, -0.0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0, 1.0, 1.0], [1.0, 0, 0, 0, 0, 0, 1.0, 1.0], [0, -0.0, -0.0, 0, 0, -0.0, -0.0, -0.0], [-0.0, 1.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, 1.0, 1.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [1.0, 1.0, -0.0, -0.0, -0.0, 0, 0, 0], [1.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0, 0]]]",2.0,4,,,,True,1.273504225537181,416.7218982819468
GCZUvg,5,5,2.0,"['aBBB', 'AABBB', 'bbbB', 'bbB', 'bb']","{'aBBB': [0, 1], 'AABBB': [7], 'bbbB': [3, 5, 6], 'bbB': [4], 'bb': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,22.598490498960015,15.42334942985326
GCZUvk,5,5,2.0,"['aBBBBB', 'aBB', 'AABBB', 'bbbB', 'bb']","{'aBBBBB': [7], 'aBB': [4], 'AABBB': [6], 'bbbB': [0, 1, 3, 5], 'bb': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]], [[0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,12.906108191236854,64.19635928608477
GCZUvo,5,5,2.0,"['aBBB', 'AABBB', 'bbbB', 'bbB', 'bb']","{'aBBB': [0, 4], 'AABBB': [7], 'bbbB': [1, 3, 6], 'bbB': [5], 'bb': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,19.18303883820772,15.684872192330658
GCZUvs,5,5,2.0,"['abBB', 'AAb', 'AbbBBB', 'AB', 'bbbbb']","{'abBB': [0, 1, 3, 4], 'AAb': [5], 'AbbBBB': [7], 'AB': [2], 'bbbbb': [6]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 1], [0, 0, 1, 0, 1, 0, 0, 0]]]",2.0,5,,,,True,23.06988992821425,69.51675845868886
GCZUvw,5,4,2.0,"['aBBB', 'AABBBB', 'bbbB', 'bb']","{'aBBB': [0, 1], 'AABBBB': [7], 'bbbB': [3, 4, 5, 6], 'bb': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,4.903232803568244,8.95539565384388
GCZUv{,5,4,2.0,"['aBBBB', 'aB', 'AABBBBB', 'bbbB']","{'aBBBB': [6], 'aB': [2], 'AABBBBB': [7], 'bbbB': [0, 1, 3, 4, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,1.4025373701006174,51.35926689393818
GCZU}{,5,4,2.0,"['abBB', 'AABBB', 'AbbbbB', 'b']","{'abBB': [0, 1, 3, 4], 'AABBB': [5], 'AbbbbB': [6, 7], 'b': [2]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0]]]",2.0,4,,,,True,2.138902056030929,72.6180330766365
GCZU~o,5,3,2.0,"['abBB', 'AAbbb', 'AB']","{'abBB': [0, 1, 3, 4, 5], 'AAbbb': [6, 7], 'AB': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0]]]",2.0,3,,,,True,0.3223327258601784,24.834381410852075
GCZU~s,5,4,2.0,"['abBB', 'AAAABB', 'Abbbbb', 'bb']","{'abBB': [0, 1, 3, 4, 5], 'AAAABB': [7], 'Abbbbb': [6], 'bb': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,18.076410216279328,25.27287046983838
GCZU~w,5,4,2.0,"['abBB', 'AAbBB', 'bbbbbB', 'bb']","{'abBB': [0, 1, 3, 4], 'AAbBB': [5, 6], 'bbbbbB': [7], 'bb': [2]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0]]]",2.0,4,,,,True,3.565069473348558,84.12648841366172
GCZNv{,3,5,2.0,"['aaaaaaa', 'AbbB', 'Abb', 'AbBBB', 'ABBBBB']","{'aaaaaaa': [7], 'AbbB': [0, 1, 5], 'Abb': [2, 3], 'AbBBB': [4], 'ABBBBB': [6]}","[[[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]], [[0, 0, 0, -0.0, 0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 1.0, 0, 1.0, -0.0], [1.0, 0, 0, 0, 0, 0, 1.0, -0.0], [0, -0.0, -0.0, 0, 0, -0.0, 1.0, -0.0], [-0.0, 1.0, 0, 0, 1.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0]]]",2.0,5,,,,True,5.450748315081,797.6322334781289
GCZU~{,5,5,2.0,"['aBBBB', 'aB', 'AABBBBB', 'bbbbBB', 'bbbB']","{'aBBBB': [5], 'aB': [2], 'AABBBBB': [7], 'bbbbBB': [6], 'bbbB': [0, 1, 3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,14.615248176269231,162.19171500299126
GCZVBW,5,4,2.0,"['abBB', 'aB', 'AAAB', 'bbB']","{'abBB': [1, 7], 'aB': [3], 'AAAB': [5], 'bbB': [0, 2, 4, 6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]], [[0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,9.829298065043986,8.870351294986904
GCZVBs,5,3,2.0,"['abB', 'AAABB', 'AbbB']","{'abB': [0, 2, 3, 4, 5], 'AAABB': [7], 'AbbB': [1, 6]}","[[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,3,,,,True,0.5018649669364095,21.673248861916363
GCZVBw,5,3,2.0,"['abB', 'AAABB', 'AbbB']","{'abB': [0, 2, 3, 4, 6], 'AAABB': [7], 'AbbB': [1, 5]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,3,,,,True,1.033094584941864,21.97437730245292
GCZVDW,5,4,2.0,"['abBB', 'aB', 'AAAB', 'bbB']","{'abBB': [0, 7], 'aB': [3], 'AAAB': [5], 'bbB': [1, 2, 4, 6]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,8.962680352851748,9.005204470828176
GCZVDg,5,4,2.0,"['abB', 'AbbB', 'Ab', 'ABBB']","{'abB': [1, 2, 3, 6], 'AbbB': [0, 5], 'Ab': [4], 'ABBB': [7]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,4.401181327179074,9.950034144334497
GCZVDw,5,3,2.0,"['abB', 'AAABB', 'AbbB']","{'abB': [1, 2, 3, 4, 6], 'AAABB': [7], 'AbbB': [0, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,3,,,,True,0.7194078089669347,19.910979172214866
GCZVEK,5,4,3.0,"['aC', 'ABBB', 'bbcC', 'cc']","{'aC': [2, 3], 'ABBB': [5, 6], 'bbcC': [0, 1, 7], 'cc': [4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]]",3.0,4,,,,True,127.582565324381,265665.5353906993
GCZVES,5,4,2.0,"['abBB', 'AbBB', 'AB', 'bbb']","{'abBB': [0, 6, 7], 'AbBB': [1], 'AB': [2, 3], 'bbb': [4, 5]}","[[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]]]",2.0,4,,,,True,14.061156279407442,9.323701401241124
