Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
E?Bw,2,"[AAAAA, a]","[1, 5]",0.015933000002405606,"[[0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]]",2,"[a, AAAAA]","[5, 1]","[[[0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]]]",1,,,,True,0.005853999988175929,1.1999945854768157e-06
E?bo,3,"[AA, a, aAAA]","[1, 4, 1]",0.02165739999327343,"[[0, 0, 0, 0, 0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [1.0, 0.0, 0.0, 0.0, 0, 0]]",3,"[a, AAAB, Ab]","[4, 1, 1]","[[[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]]]",2,,,,True,0.08938479999778792,0.2941928999935044
E?bw,3,"[aA, aAAAA, a]","[2, 1, 3]",0.024167899988242425,"[[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0]]",4,"[aB, AB, bbbbb, B]","[1, 1, 1, 3]","[[[0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [-0.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0]]]",2,,,,True,0.8891390999924624,0.358695600007195
E?ow,3,"[AAA, aAA, a]","[1, 1, 4]",0.02754950000962708,"[[0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0, -0.0], [0, 0, 0.0, 0.0, 1.0, 0]]",3,"[a, AAb, AAB]","[4, 1, 1]","[[[0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [-0.0, -0.0, 0, 0, 0, -0.0], [0, 0, -0.0, -0.0, 0.0, 0]], [[0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0, 0.0], [0, 0, -0.0, -0.0, 1.0, 0]]]",2,,,,True,0.11076860000321176,0.18478749999485444
E?qo,3,"[aA, AAA, a]","[2, 1, 3]",0.02471959999820683,"[[0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0.0, 0, 0, 0, 0], [0.0, 0, 0.0, 0.0, 0, 0]]",4,"[a, AAC, AB, bc]","[3, 1, 1, 1]","[[[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 0], [-0.0, 0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 0], [-0.0, 0, -0.0, -0.0, 0, 0]]]",3,,,,True,3.13616350000666,29.698008600011235
E?qw,4,"[AA, a, aAA, aaAA]","[1, 3, 1, 1]",0.03756289999000728,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0.0, 0, 0, 0, -0.0], [1.0, 0, 0.0, 0.0, 1.0, 0]]",4,"[aB, ABBB, bbB, b]","[1, 1, 1, 3]","[[[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0.0, 0, 0, 0, 1.0], [0.0, 0, 0.0, 0.0, 0.0, 0]]]",2,,,,True,1.2199111000081757,1.2216544999973848
E?ro,3,"[aA, a, aAAA]","[3, 2, 1]",0.03836350000347011,"[[0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0.0, 0, 0, 0, 0], [0.0, 1.0, 0.0, 0.0, 0, 0]]",4,"[a, AACC, bc, BB]","[2, 1, 2, 1]","[[[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, -0.0, 0, 0]]]",3,,,,True,7.251694899998256,69.33582009999373
E?rw,4,"[AA, a, aaA, aaaAA]","[2, 2, 1, 1]",0.031727800000226125,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0, 0, 0, -0.0], [1.0, 1.0, 0.0, 0.0, 1.0, 0]]",4,"[aB, AAB, bbbBB, b]","[2, 1, 1, 2]","[[[0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0, 0.0], [1.0, 1.0, 0.0, 0.0, 1.0, 0]]]",2,,,,True,0.8773029000003589,1.5941573999880347
E?zO,3,"[AA, a, aaA]","[2, 2, 2]",0.01915720000397414,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0.0, 0, 0, 0], [1.0, 1.0, 0, 0.0, 0, 0]]",4,"[aB, AAB, bbB, b]","[2, 1, 1, 2]","[[[0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 0.0, 0, 0]], [[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [-0.0, -0.0, 0.0, 0, 0, 0], [1.0, 1.0, 0, 0.0, 0, 0]]]",2,,,,True,1.0799843999993755,0.5491492000001017
E?zW,4,"[AA, A, a, aaaA]","[2, 1, 1, 2]",0.02432589999807533,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 0, 0.0, 1.0, 0]]",4,"[aB, a, AAAB, Abbb]","[2, 2, 1, 1]","[[[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [1.0, 1.0, 0.0, 0, 0, 1.0], [0.0, 0.0, 0, 0.0, 0.0, 0]]]",2,,,,True,0.9055063000123482,0.9559630000003381
E?zo,4,"[AA, a, aaa, aaaA]","[3, 1, 1, 1]",0.027846700002555735,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 1.0, 0, 0, 0], [1.0, 1.0, 1.0, 0.0, 0, 0]]",4,"[aB, AAA, bbbB, b]","[3, 1, 1, 1]","[[[0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0, 0], [1.0, 1.0, 1.0, 0.0, 0, 0]]]",2,,,,True,0.7400669000053313,1.4389245999918785
E?zw,4,"[AA, a, aaaA, aaaaA]","[3, 1, 1, 1]",0.03070270000898745,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 0.0, 1.0, 0]]",4,"[aB, AAbBB, Abbb, b]","[3, 1, 1, 1]","[[[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0.0, 0, 0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0]]]",2,,,,True,0.9195610000024317,2.3659042000072077
E?~o,2,"[AA, aaaa]","[4, 2]",0.012624999988474883,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 1.0, 1.0, 0, 0], [1.0, 1.0, 1.0, 1.0, 0, 0]]",3,"[aB, AAAb, Abbb]","[4, 1, 1]","[[[0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, -0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, -0.0, 1.0, 0, 0], [-0.0, -0.0, 1.0, -0.0, 0, 0]]]",2,,,,True,0.3385280999937095,0.8166887999977916
E?~w,3,"[AA, aaaaA, aaaaa]","[4, 1, 1]",0.03133150000940077,"[[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 1.0, 1.0, 0, -0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0]]",3,"[aB, AAbbb, AAbbB]","[4, 1, 1]","[[[0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0.0], [1.0, 1.0, 0.0, -0.0, 0, 0.0], [-0.0, 0.0, 1.0, 1.0, 1.0, 0]]]",2,,,,True,0.35956440000154544,1.0488464999943972
